,0
0,Arkansas
1,Minnesota
2,Nevada
3,New Mexico
4,New York
5,Tennessee
6,Texas
7,Utah
8,Vermont
9,Virginia
10,Washington
11,West Virginia
12,Wisconsin
13,Wyoming
